Rk,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
36,Bradley Beal,SG,30,3,3,86,18,46,0.391,5,15,0.333,13,31,0.419,0.446,11,16,0.688,3,13,16,11,2,1,9,9,52,bealbr01
37,Malik Beasley,SG,27,22,22,652,94,197,0.477,65,143,0.455,29,54,0.537,0.642,8,12,0.667,13,83,96,31,20,3,16,45,261,beaslma01
38,MarJon Beauchamp,SF,23,18,0,294,36,77,0.468,16,36,0.444,20,41,0.488,0.571,9,16,0.563,13,33,46,17,5,4,11,31,97,beaucma01
39,Jules Bernard,SG,24,1,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,bernaju01
40,D?vis Bert?ns,PF,31,7,0,57,6,16,0.375,6,15,0.4,0,1,0,0.563,14,15,0.933,0,5,5,5,2,1,0,8,32,bertada01
41,Patrick Beverley,PG,35,21,1,384,36,85,0.424,12,44,0.273,24,41,0.585,0.494,12,17,0.706,19,47,66,53,11,6,16,39,96,beverpa01
42,Saddiq Bey,SF,24,21,9,629,99,201,0.493,40,100,0.4,59,101,0.584,0.592,34,42,0.81,46,80,126,25,22,3,25,33,272,beysa01
43,Goga Bitadze,C,24,20,17,412,54,94,0.574,1,5,0.2,53,89,0.596,0.58,30,42,0.714,42,77,119,37,14,31,14,48,139,bitadgo01
44,Onuralp Bitim,SG,24,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,bitimon01
45,Bismack Biyombo,C,31,16,15,401,40,70,0.571,0,0,,40,70,0.571,0.571,18,30,0.6,40,72,112,34,6,20,19,47,98,biyombi01
46,Anthony Black,PG,20,20,16,384,39,77,0.506,7,25,0.28,32,52,0.615,0.552,16,25,0.64,11,35,46,30,5,7,20,41,101,blackan01
47,Leaky Black,SF,24,4,0,17,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,0,2,2,1,1,2,0,1,5,blackle01
48,Bogdan Bogdanovi?,SG,31,21,2,571,123,272,0.452,65,169,0.385,58,103,0.563,0.572,28,30,0.933,8,64,72,47,29,7,27,53,339,bogdabo01
49,Bojan Bogdanovi?,PF,34,3,2,88,19,40,0.475,8,21,0.381,11,19,0.579,0.575,7,9,0.778,1,8,9,10,5,0,5,2,53,bogdabo02
50,Bol Bol,PF,24,4,0,8,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,1,2,0,2,bolbo01
51,Marques Bolden,C,25,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,1,0,boldema01
52,Devin Booker,SG,27,13,13,450,116,242,0.479,26,61,0.426,90,181,0.497,0.533,98,107,0.916,13,69,82,105,10,6,42,41,356,bookede01
